latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.86838,34.76421,307.98,0.43,0.46,2025-06-24,0001,N21,nominal,2.0NRT,296.03,1.89,N
37.86143,29.37253,311.55,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,293.79,1.38,N
38.36516,26.03778,311.74,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,292.59,0.61,N
38.36181,26.03697,303.37,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,292.14,0.51,N
38.34634,26.02352,327.62,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,295.15,3.1,N
38.34825,26.00954,302.39,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,291.78,0.57,N
38.3476,26.01427,313.84,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,294.09,1.4,N
38.33947,26.07359,308.25,0.4,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.75,2.39,N
38.34424,26.01348,355.4,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,302.02,22.21,N
38.34361,26.01813,350.1,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,298.47,22.21,N
38.33551,26.07713,323.78,0.4,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.37,2.53,N
38.33612,26.07274,312.2,0.4,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.69,3.45,N
38.34088,26.01273,345.44,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,310.51,22.21,N
38.34024,26.01736,335.5,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,308.1,22.21,N
38.33277,26.07194,337.68,0.4,0.37,2025-06-24,0001,N21,nominal,2.0NRT,299.21,3.45,N
38.33216,26.07636,325.42,0.4,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.32,2.53,N
38.33751,26.012,337.81,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,318.01,22.61,N
38.33688,26.0166,336.59,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.21,22.61,N
38.33373,26.0397,308.68,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,294.04,1.82,N
38.33001,26.06679,315.34,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.62,2.03,N
38.33416,26.01115,305.61,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,293.37,22.61,N
38.32726,26.06166,313.46,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,295.28,2.45,N
38.32666,26.06603,317.16,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.98,2.03,N
38.3275,26.04939,304.58,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,294.17,0.8,N
38.32687,26.05396,310.43,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,294.31,0.8,N
38.32563,26.06288,318.06,0.4,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.46,2.61,N
